brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
audi,1.4,0,0,0,0,1,15735,55.4,12500,0,1,0,0,2017
audi,2.0,1,0,0,0,0,36203,64.2,16500,1,0,0,0,2016
audi,1.4,0,0,0,0,1,29946,55.4,11000,0,1,0,0,2016
audi,2.0,1,0,0,0,0,25952,67.3,16800,1,0,0,0,2017
audi,1.0,0,0,0,0,1,1998,49.6,17300,0,1,0,0,2019
audi,1.4,0,0,0,0,1,32260,58.9,13900,1,0,0,0,2016
audi,2.0,1,0,0,0,0,76788,61.4,13250,1,0,0,0,2016
audi,2.0,1,0,0,0,0,75185,70.6,11750,0,1,0,0,2016
audi,1.4,0,0,0,0,1,46112,60.1,10200,0,1,0,0,2015
audi,1.4,0,0,0,0,1,22451,55.4,12000,0,1,0,0,2016
audi,1.4,0,0,0,0,1,28955,58.9,16100,0,1,0,0,2017
audi,2.0,1,0,0,0,0,52198,57.6,16500,1,0,0,0,2016
audi,2.0,1,0,0,0,0,44915,52.3,17000,0,1,0,0,2016
audi,1.4,0,0,0,0,1,21695,58.9,16400,0,1,0,0,2017
audi,2.0,1,0,0,0,0,47348,61.4,15400,0,1,0,0,2015
audi,1.4,0,0,0,0,1,26156,58.9,14500,1,0,0,0,2017
audi,2.0,1,0,0,0,0,28396,53.3,15700,1,0,0,0,2016
audi,1.4,0,0,0,0,1,30516,56.5,13900,1,0,0,0,2014
audi,2.0,1,0,0,0,0,37652,47.1,19000,1,0,0,0,2016
audi,1.4,0,0,0,0,1,34110,47.9,17000,0,1,0,0,2014
audi,2.0,1,0,0,0,0,37100,67.3,17300,1,0,0,0,2017
audi,2.0,1,0,0,0,0,23714,47.1,20200,1,0,0,0,2016
audi,3.0,1,0,0,0,0,21649,58.9,22500,1,0,0,0,2017
audi,3.0,1,0,0,0,0,62748,53.3,17500,1,0,0,0,2015
audi,2.0,1,0,0,0,0,23789,47.1,20000,1,0,0,0,2016
audi,2.0,1,0,0,0,0,17418,62.8,18500,1,0,0,0,2017
audi,2.0,1,0,0,0,0,33300,61.4,19500,1,0,0,0,2017
audi,1.4,0,0,0,0,1,10793,56.5,15800,0,1,0,0,2018
audi,2.0,1,0,0,0,0,25138,70.6,17200,1,0,0,0,2018
audi,2.0,1,0,0,0,0,61176,62.8,14000,0,1,0,0,2015
audi,1.6,1,0,0,0,0,54754,76.3,9500,1,0,0,0,2015
audi,1.4,0,0,0,0,1,21369,51.4,16500,0,1,0,0,2017
audi,2.0,1,0,0,0,0,39190,47.9,15000,1,0,0,0,2014
audi,1.4,0,0,0,0,1,47482,47.9,16000,1,0,0,0,2017
audi,2.0,1,0,0,0,0,40501,51.4,16900,1,0,0,0,2016
audi,2.0,1,0,0,0,0,43195,47.9,12300,1,0,0,0,2014
audi,1.0,0,0,0,0,1,31447,67.3,10800,0,1,0,0,2017
audi,2.0,1,0,0,0,0,34030,58.9,19400,1,0,0,0,2016
audi,2.0,1,0,0,0,0,29063,70.6,16000,0,1,0,0,2017
audi,2.0,1,0,0,0,0,29545,65.7,17100,0,1,0,0,2017
audi,2.0,1,0,0,0,0,75619,68.9,11300,0,1,0,0,2015
audi,2.0,1,0,0,0,0,39603,50.4,17200,1,0,0,0,2016
audi,2.0,1,0,0,0,0,42908,51.4,20300,1,0,0,0,2017
audi,2.0,1,0,0,0,0,83872,58.9,13200,1,0,0,0,2014
audi,1.4,0,0,0,0,1,58750,47.9,15200,1,0,0,0,2016
audi,1.0,0,0,0,0,1,2029,49.6,15700,0,1,0,0,2019
audi,1.8,0,0,0,0,1,22958,50.4,16600,1,0,0,0,2018
audi,2.0,1,0,0,0,0,32097,72.4,14400,1,0,0,0,2017
audi,2.0,0,0,0,0,1,13057,53.3,20200,1,0,0,0,2017
audi,3.0,0,0,0,0,1,20278,38.7,23700,1,0,0,0,2017
audi,2.0,1,0,0,0,0,52561,74.3,12750,0,1,0,0,2016
audi,2.0,1,0,0,0,0,31604,67.3,13000,1,0,0,0,2015
audi,1.4,0,0,0,0,1,32011,49.6,15900,0,1,0,0,2016
audi,2.0,1,0,0,0,0,39134,60.1,15000,0,1,0,0,2016
audi,2.0,1,0,0,0,0,89483,47.1,14700,1,0,0,0,2015
audi,1.8,0,0,0,0,1,56291,42.8,15000,1,0,0,0,2015
audi,2.0,1,0,0,0,0,47767,61.4,16000,1,0,0,0,2016
audi,1.4,0,0,0,0,1,34315,53.3,11000,0,1,0,0,2014
audi,1.6,1,0,0,0,0,66369,83.1,10200,0,1,0,0,2016
audi,2.0,1,0,0,0,0,34110,61.4,18500,0,1,0,0,2016
audi,1.6,1,0,0,0,0,76269,74.3,7000,0,1,0,0,2013
audi,1.6,1,0,0,0,0,37840,70.6,10600,0,1,0,0,2016
audi,1.6,1,0,0,0,0,26249,67.3,16000,0,1,0,0,2017
audi,2.0,1,0,0,0,0,44898,57.7,15000,0,1,0,0,2017
audi,1.4,0,0,0,0,1,67161,51.4,14000,0,1,0,0,2017
audi,1.5,0,0,0,0,1,17992,54.3,18950,0,1,0,0,2018
audi,2.0,1,0,0,0,0,97440,70.6,10200,0,1,0,0,2016
