brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
bmw,2.0,1,0,0,0,0,67068,57.6,11200,1,0,0,0,2014
bmw,2.0,0,0,0,0,1,14827,42.8,27000,1,0,0,0,2018
bmw,3.0,1,0,0,0,0,62794,51.4,16000,1,0,0,0,2016
bmw,1.5,1,0,0,0,0,26676,72.4,12750,1,0,0,0,2017
bmw,3.0,1,0,0,0,0,39554,50.4,14500,1,0,0,0,2014
bmw,2.0,1,0,0,0,0,35309,60.1,14900,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,38538,60.1,16000,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,10401,52.3,16250,0,1,0,0,2018
bmw,2.0,1,0,0,0,0,42668,62.8,14250,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,36099,68.9,14250,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,74907,52.3,15500,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,29840,68.9,11800,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,77823,54.3,15500,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,31469,68.9,10500,0,1,0,0,2015
bmw,2.0,1,0,0,0,0,19057,54.3,22000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,16570,58.9,16500,0,1,0,0,2017
bmw,2.0,0,0,0,1,0,55594,148.7,14250,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,45456,64.2,16000,1,0,0,0,2017
bmw,1.5,1,0,0,0,0,22812,68.9,15500,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,47348,60.1,14000,1,0,0,0,2014
bmw,2.0,1,0,0,0,0,75124,70.6,9700,1,0,0,0,2015
bmw,2.0,1,0,0,0,0,78957,62.8,12600,1,0,0,0,2015
bmw,2.0,1,0,0,0,0,29213,64.2,15100,1,0,0,0,2016
bmw,1.5,1,0,0,0,0,44498,83.1,9400,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,22461,67.3,14300,1,0,0,0,2016
bmw,1.5,0,0,0,0,1,23005,53.3,11200,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,22310,64.2,17800,1,0,0,0,2019
bmw,2.0,1,0,0,0,0,51994,62.8,14400,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,96213,52.3,19750,1,0,0,0,2016
bmw,3.0,1,0,0,0,0,50316,47.9,17400,1,0,0,0,2015
bmw,2.0,1,0,0,0,0,44011,65.7,16800,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,34960,54.3,23000,1,0,0,0,2017
bmw,0.6,0,0,0,1,0,25269,470.8,17100,1,0,0,0,2016
bmw,3.0,0,0,0,0,1,24029,39.8,20500,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,22920,53.3,11900,0,1,0,0,2017
bmw,1.5,0,0,0,1,0,61818,141.2,13000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,59634,61.4,11500,0,1,0,0,2015
bmw,2.0,1,0,0,0,0,29226,62.8,13500,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,33514,60.1,18900,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,6522,37.2,14600,1,0,0,0,2018
bmw,2.0,0,0,0,0,1,11231,47.9,15800,0,1,0,0,2016
bmw,1.5,0,0,0,0,1,21591,53.3,11400,0,1,0,0,2016
bmw,3.0,1,0,0,0,0,79972,47.1,12000,1,0,0,0,2013
bmw,1.5,0,0,0,0,1,14037,54.3,17500,1,0,0,0,2018
bmw,3.0,1,0,0,0,0,25034,47.9,23500,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,44478,60.1,16700,1,0,0,0,2016
bmw,3.0,1,0,0,0,0,74852,47.1,18000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,45856,65.7,15500,1,0,0,0,2016
bmw,1.5,1,0,0,0,0,48858,83.1,9200,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,40399,68.9,11200,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,17393,65.7,13200,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,84816,62.8,11000,1,0,0,0,2014
bmw,3.0,1,0,0,0,0,27139,51.4,18500,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,91563,60.1,12750,1,0,0,0,2017
bmw,2.0,0,0,0,0,1,32139,43.5,14000,0,1,0,0,2014
bmw,2.0,1,0,0,0,0,54120,65.7,14000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,20925,68.9,14000,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,30521,68.9,12750,0,1,0,0,2016
bmw,1.5,0,0,0,0,1,16066,51.4,18000,0,1,0,0,2018
bmw,1.5,1,0,0,0,0,11524,83.1,11100,0,1,0,0,2015
bmw,1.5,0,0,0,0,1,21809,53.3,12700,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,27245,68.9,14500,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,35736,58.9,12750,1,0,0,0,2013
bmw,2.0,1,0,0,0,0,55782,65.7,14100,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,26404,53.3,10800,0,1,0,0,2016
bmw,1.5,0,0,0,0,1,26631,52.3,13000,0,1,0,0,2016
bmw,1.6,0,0,0,0,1,24111,47.1,12500,0,1,0,0,2016
bmw,2.0,0,0,0,0,1,22763,48.7,13600,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,17385,72.4,12700,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,35474,60.1,15600,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,16584,62.8,15250,0,1,0,0,2016
bmw,1.5,1,0,0,0,0,30273,53.3,11700,0,1,0,0,2018
bmw,2.0,1,0,0,0,0,62021,65.7,10900,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,51552,62.8,14400,1,0,0,0,2016
bmw,1.5,0,0,0,0,1,29508,53.3,11100,0,1,0,0,2016
bmw,1.5,1,0,0,0,0,30865,72.4,11100,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,46356,62.8,12400,1,0,0,0,2014
bmw,1.5,1,0,0,0,0,18343,70.6,12800,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,13858,57.6,15000,1,0,0,0,2014
bmw,1.5,0,0,0,0,1,33752,52.3,12750,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,19083,54.3,21750,1,0,0,0,2016
bmw,1.5,0,0,0,0,1,46281,51.4,13900,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,54183,65.7,14000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,36701,65.7,15200,1,0,0,0,2017
bmw,2.0,0,0,0,0,1,48082,51.4,13500,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,77482,68.9,12150,0,1,0,0,2016
bmw,1.5,0,0,0,1,0,32389,141.2,16000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,39235,62.8,14000,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,30703,57.6,19490,1,0,0,0,2018
bmw,2.0,1,0,0,0,0,20000,60.1,15499,0,0,0,1,2015
bmw,1.5,1,0,0,0,0,34971,72.4,13000,0,0,0,1,2017
bmw,2.0,1,0,0,0,0,44900,64.2,10600,0,0,0,1,2014
bmw,2.0,1,0,0,0,0,16945,54.3,23000,0,0,0,1,2017
bmw,3.0,0,0,0,0,1,34209,34.0,29998,0,0,0,1,2016
bmw,1.5,1,0,0,0,0,14138,72.4,12498,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,74375,65.7,7948,0,1,0,0,2015
bmw,2.0,1,0,0,0,0,31238,55.4,17800,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,37204,64.2,13100,0,1,0,0,2015
bmw,1.5,1,0,0,0,0,26265,83.1,11400,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,38838,57.6,14800,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,59692,54.3,15900,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,34623,57.6,16300,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,29968,64.2,14800,0,1,0,0,2017
bmw,3.0,1,0,0,0,0,27748,49.6,19700,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,47288,62.8,14450,1,0,0,0,2015
bmw,2.0,1,0,0,0,0,64117,65.7,13500,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,79563,60.1,10900,1,0,0,0,2015
bmw,2.0,1,0,0,0,0,34842,67.3,12200,0,1,0,0,2016
bmw,1.5,1,0,0,0,0,24313,74.3,10600,0,1,0,0,2016
bmw,1.5,1,0,0,0,0,40789,74.3,9100,0,1,0,0,2015
bmw,2.0,1,0,0,0,0,66743,67.3,12600,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,65612,62.8,13600,1,0,0,0,2016
bmw,1.5,1,0,0,0,0,21390,72.4,11700,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,72065,70.6,12450,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,62444,60.1,13500,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,71558,50.4,12750,1,0,0,0,2013
bmw,2.0,1,0,0,0,0,34666,65.7,16700,1,0,0,0,2017
bmw,1.5,1,0,0,0,0,22920,72.4,11400,0,1,0,0,2016
bmw,2.0,0,0,0,1,0,71626,85.6,21000,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,38405,68.9,14700,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,20681,64.2,19000,1,0,0,0,2018
bmw,2.0,1,0,0,0,0,20529,65.7,15400,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,42691,54.3,19000,1,0,0,0,2016
bmw,1.5,0,0,0,0,1,10058,37.2,15000,1,0,0,0,2018
bmw,3.0,1,0,0,0,0,40337,53.3,17950,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,23195,65.7,22600,1,0,0,0,2018
bmw,1.5,0,0,0,0,1,17117,53.3,13200,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,22153,68.9,12750,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,56038,68.9,9750,0,1,0,0,2015
bmw,2.0,1,0,0,0,0,78345,74.3,10900,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,31084,54.3,21400,1,0,0,0,2016
bmw,1.5,0,0,0,0,1,5615,58.9,14600,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,55751,51.4,12600,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,35016,54.3,22500,1,0,0,0,2017
bmw,1.5,1,0,0,0,0,81579,83.1,8000,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,31518,60.1,14800,0,1,0,0,2017
bmw,1.5,1,0,0,0,0,44008,83.1,9900,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,59509,68.9,9500,0,1,0,0,2016
bmw,2.0,0,0,0,1,0,43703,134.5,17950,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,36858,60.1,14200,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,25786,74.3,12100,1,0,0,0,2016
bmw,2.0,1,0,0,0,0,24592,68.9,12700,1,0,0,0,2016
bmw,1.5,1,0,0,0,0,51002,83.1,8800,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,26052,68.9,15000,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,31528,64.2,17100,1,0,0,0,2017
bmw,3.0,1,0,0,0,0,25776,47.9,21750,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,18055,52.3,13400,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,63223,68.9,9900,1,0,0,0,2014
bmw,1.5,0,0,0,0,1,8719,52.3,13700,0,1,0,0,2016
bmw,2.0,0,0,0,0,1,27133,44.8,16900,1,0,0,0,2018
bmw,2.0,1,0,0,0,0,21947,68.9,21950,1,0,0,0,2018
bmw,2.0,1,0,0,0,0,80625,51.4,8750,0,1,0,0,2013
bmw,2.0,0,0,0,1,0,31501,134.5,17000,1,0,0,0,2017
bmw,1.5,0,0,0,0,1,8707,55.5,13750,1,0,0,0,2016
bmw,1.5,0,0,0,0,1,10861,53.3,12800,0,1,0,0,2017
bmw,2.0,0,0,0,0,1,16359,46.3,16000,0,1,0,0,2017
bmw,2.0,1,0,0,0,0,46913,65.7,16600,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,37747,60.1,15100,0,1,0,0,2017
bmw,2.0,0,0,0,0,1,24882,46.3,16750,0,1,0,0,2017
bmw,1.5,0,0,0,0,1,24474,52.3,12450,0,1,0,0,2015
bmw,2.0,0,0,0,0,1,29394,48.7,15700,1,0,0,0,2018
bmw,2.0,1,0,0,0,0,59528,60.1,12600,0,1,0,0,2016
bmw,2.0,0,0,0,0,1,15577,44.1,14600,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,52226,68.9,13700,0,1,0,0,2016
bmw,2.0,1,0,0,0,0,12330,64.2,16900,1,0,0,0,2017
bmw,2.0,1,0,0,0,0,62943,65.7,15998,0,0,0,1,2015
bmw,2.0,1,0,0,0,0,1560,60.1,31498,0,0,0,1,2020
bmw,1.5,0,0,0,0,1,1580,43.5,27998,0,1,0,0,2020
bmw,3.0,1,0,0,0,0,1500,37.7,54998,0,0,0,1,2020
bmw,2.0,0,0,0,0,1,11545,44.8,11998,0,1,0,0,2014
bmw,1.5,0,0,1,0,0,3160,113.0,25998,1,0,0,0,2020
bmw,2.0,1,0,0,0,0,1560,48.7,31998,0,0,0,1,2020
bmw,2.0,1,0,0,0,0,1850,49.6,29998,0,1,0,0,2020
bmw,2.0,1,0,0,0,0,7272,42.8,33998,0,0,0,1,2019
bmw,2.0,1,0,0,0,0,7272,42.8,33998,0,0,0,1,2019
bmw,2.0,1,0,0,0,0,19866,65.7,14995,0,1,0,0,2017
bmw,2.0,0,0,0,0,1,22476,48.7,17995,0,0,0,1,2016
bmw,3.0,0,0,0,0,1,42786,37.7,14498,0,0,0,1,2013
bmw,2.0,1,0,0,0,0,42410,65.7,10998,0,1,0,0,2015
bmw,2.0,1,0,0,0,0,60681,57.6,11998,0,0,0,1,2014
bmw,2.0,1,0,0,0,0,57717,58.9,14498,0,1,0,0,2016
bmw,2.0,0,0,0,0,1,8096,51.4,16998,0,0,0,1,2017
bmw,2.0,1,0,0,0,0,49151,62.8,11498,0,1,0,0,2015
bmw,3.0,1,0,0,0,0,40429,47.1,29498,0,0,0,1,2017
bmw,3.0,0,0,0,0,1,21107,34.0,31498,0,0,0,1,2016
bmw,3.0,0,0,0,0,1,33043,39.8,19498,0,0,0,1,2016
bmw,2.0,1,0,0,0,0,50378,57.6,17998,0,0,0,1,2016
bmw,2.0,1,0,0,0,0,11115,65.7,25998,0,0,0,1,2019
bmw,2.0,1,0,0,0,0,69020,57.6,8298,0,1,0,0,2013
bmw,3.0,1,0,0,0,0,2650,39.8,61898,0,0,0,1,2019
bmw,3.0,0,0,0,0,1,55834,35.3,13298,0,1,0,0,2014
bmw,2.0,1,0,0,0,0,5761,55.4,21898,0,0,0,1,2019
bmw,1.5,1,0,0,0,0,47110,78.5,11498,0,0,0,1,2017
bmw,2.0,1,0,0,0,0,54075,54.3,17495,0,0,0,1,2014
bmw,2.0,1,0,0,0,0,45152,62.8,14998,0,0,0,1,2015
bmw,2.0,1,0,0,0,0,52091,58.9,10498,0,1,0,0,2014
