_mileage,_mpg,_price,_year,brand_audi,brand_bmw,brand_ford,brand_hyundi,brand_merc,brand_skoda,brand_toyota,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto
4009,29.7,55292,2019,1,0,0,0,0,0,0,2.9,0,0,0,0,1,1,0,0,0
2242,32.8,55290,2020,0,0,0,0,1,0,0,2.9,1,0,0,0,0,1,0,0,0
3029,32.8,55199,2019,0,0,0,0,1,0,0,3.0,1,0,0,0,0,0,0,0,1
377,31.4,55199,2019,0,0,0,0,1,0,0,4.7,0,0,0,0,1,0,0,0,1
4330,41.5,55156,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,1,0,0,0
2233,24.8,55000,2019,0,1,0,0,0,0,0,3.0,0,0,0,0,1,1,0,0,0
8546,41.5,55000,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,1,0,0,0
2455,34.9,55000,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
7750,33.2,55000,2019,1,0,0,0,0,0,0,3.0,1,0,0,0,0,1,0,0,0
18682,31.0,54999,2017,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0,1
2900,32.8,54999,2020,0,0,0,0,1,0,0,2.9,1,0,0,0,0,1,0,0,0
500,24.8,54999,2019,0,1,0,0,0,0,0,3.0,0,0,0,0,1,1,0,0,0
2255,52.3,54999,2019,0,0,0,0,1,0,0,3.0,1,0,0,0,0,1,0,0,0
2075,52.3,54999,2019,0,0,0,0,1,0,0,2.9,1,0,0,0,0,1,0,0,0
369,52.3,54999,2019,0,0,0,0,1,0,0,3.0,1,0,0,0,0,0,0,0,1
3600,32.8,54999,2020,0,0,0,0,1,0,0,2.9,1,0,0,0,0,0,0,0,1
1500,37.7,54998,2020,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
8546,29.4,54998,2017,1,0,0,0,0,0,0,4.0,0,0,0,0,1,0,0,0,1
1499,29.7,54995,2020,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0,1
11000,36.7,54995,2018,0,0,1,0,0,0,0,2.3,0,0,0,0,1,0,1,0,0
6700,32.8,54995,2020,0,0,0,0,1,0,0,3.0,1,0,0,0,0,1,0,0,0
3500,33.2,54995,2020,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0,1
2000,30.1,54995,2020,1,0,0,0,0,0,0,2.5,0,0,0,0,1,0,0,0,1
102,37.7,54995,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
3455,34.9,54995,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
1364,33.2,54995,2020,1,0,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
15500,29.4,54995,2017,1,0,0,0,0,0,0,4.0,0,0,0,0,1,1,0,0,0
4490,24.8,54995,2019,0,1,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0,1
1501,42.2,54995,2020,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
3715,52.3,54994,2019,0,0,0,0,1,0,0,2.9,1,0,0,0,0,1,0,0,0
1000,30.1,54991,2019,0,0,0,0,0,0,1,2.8,1,0,0,0,0,0,0,0,1
1644,32.8,54991,2019,0,0,0,0,1,0,0,3.0,1,0,0,0,0,1,0,0,0
15,37.7,54991,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,1,0,0,0
8966,33.6,54991,2019,0,1,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0,1
9300,32.5,54990,2018,0,0,0,0,1,0,0,3.0,0,0,0,0,1,1,0,0,0
2137,5.5,54990,2020,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1
34564,44.8,54990,2017,0,0,0,0,1,0,0,2.1,1,0,0,0,0,1,0,0,0
19940,39.2,54990,2018,1,0,0,0,0,0,0,4.0,1,0,0,0,0,0,0,0,1
7153,33.6,54990,2019,0,1,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1
4474,29.7,54990,2019,1,0,0,0,0,0,0,2.9,0,0,0,0,1,1,0,0,0
350,27.4,54990,2019,0,0,0,0,1,0,0,4.0,0,0,0,0,1,1,0,0,0
3437,30.1,54990,2019,1,0,0,0,0,0,0,2.5,0,0,0,0,1,0,0,0,1
7800,29.7,54990,2019,1,0,0,0,0,0,0,2.9,0,0,0,0,1,0,0,0,1
10,39.2,54990,2020,1,0,0,0,0,0,0,3.0,1,0,0,0,0,1,0,0,0
39300,29.4,54990,2017,1,0,0,0,0,0,0,4.0,0,0,0,0,1,1,0,0,0
