brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
ford,1.0,0,0,0,0,1,15944,57.7,12000,1,0,0,0,2017
ford,1.0,0,0,0,0,1,9083,57.7,14000,0,1,0,0,2018
ford,1.0,0,0,0,0,1,12456,57.7,13000,0,1,0,0,2017
ford,1.5,0,0,0,0,1,10460,40.3,17500,0,1,0,0,2019
ford,1.0,0,0,0,0,1,1482,48.7,16500,1,0,0,0,2019
ford,1.6,0,0,0,0,1,35432,47.9,10500,0,1,0,0,2015
ford,1.0,0,0,0,0,1,2029,50.4,22500,0,1,0,0,2019
ford,1.2,0,0,0,0,1,13054,54.3,9000,0,1,0,0,2017
ford,2.0,1,0,0,0,0,6894,42.2,25500,1,0,0,0,2019
ford,1.0,0,0,0,0,1,48141,61.4,10000,0,1,0,0,2018
ford,1.0,0,0,0,0,1,18803,56.5,11561,0,1,0,0,2018
ford,1.0,0,0,0,0,1,12065,54.3,13500,0,1,0,0,2018
ford,1.0,0,0,0,0,1,20978,65.7,11000,0,1,0,0,2017
ford,2.0,1,0,0,0,0,9002,54.3,17999,0,0,0,1,2018
ford,1.5,1,0,0,0,0,8970,58.9,18999,0,0,0,1,2018
ford,1.5,1,0,0,0,0,12810,64.2,14399,0,1,0,0,2018
ford,2.0,1,0,0,0,0,10428,38.2,17999,0,1,0,0,2019
ford,2.0,1,0,0,0,0,14680,54.3,16899,0,1,0,0,2018
ford,1.0,0,0,0,0,1,12427,62.8,10999,0,1,0,0,2017
ford,1.0,0,0,0,0,1,25521,55.4,12500,0,1,0,0,2019
ford,1.1,0,0,0,0,1,20400,55.4,9499,0,1,0,0,2018
ford,1.0,0,0,0,0,1,24926,65.7,10500,0,1,0,0,2017
ford,1.0,0,0,0,0,1,26163,65.7,8995,0,1,0,0,2017
ford,2.0,1,0,0,0,0,59000,47.9,8995,0,1,0,0,2014
ford,1.0,0,0,0,0,1,35299,65.7,6795,0,1,0,0,2014
ford,2.0,0,0,0,0,1,13063,41.5,18499,0,1,0,0,2017
ford,1.5,1,0,0,0,0,23800,68.9,11799,0,1,0,0,2018
ford,1.0,0,0,0,0,1,25935,65.7,8299,0,1,0,0,2015
ford,1.0,0,0,0,0,1,8700,58.9,12499,0,1,0,0,2018
ford,1.2,0,0,0,0,1,25000,54.3,8699,0,1,0,0,2017
ford,1.5,1,0,0,0,0,60730,78.5,7999,0,1,0,0,2016
ford,1.2,0,0,0,0,1,18561,54.3,8991,0,1,0,0,2017
ford,1.0,0,0,0,0,1,8400,60.1,18990,0,1,0,0,2019
ford,1.0,0,0,0,0,1,39090,65.7,7236,0,1,0,0,2013
ford,1.5,1,0,0,0,0,33149,58.9,15287,0,0,0,1,2018
ford,2.0,1,0,0,0,0,24,65.7,20000,0,1,0,0,2019
ford,1.0,0,0,0,0,1,558,53.3,20000,0,1,0,0,2020
ford,2.0,1,0,0,0,0,3259,39.2,21378,0,1,0,0,2019
ford,1.0,0,0,0,0,1,15100,65.7,9814,0,1,0,0,2018
ford,1.2,0,0,0,0,1,25000,57.7,8261,0,1,0,0,2018
ford,1.0,0,0,0,0,1,15612,65.7,8788,0,1,0,0,2017
ford,1.0,0,0,0,0,1,8920,58.9,12251,0,1,0,0,2018
ford,2.0,1,0,0,0,0,24803,60.1,16320,0,1,0,0,2017
ford,1.1,0,0,0,0,1,7,48.7,13140,0,1,0,0,2019
ford,1.0,0,0,0,0,1,43019,48.7,10491,0,0,0,1,2018
ford,2.0,1,0,0,0,0,41607,54.3,13870,0,0,0,1,2016
ford,2.0,0,0,0,0,1,23554,41.5,14960,0,1,0,0,2017
ford,1.0,0,0,0,0,1,6923,58.9,13540,0,1,0,0,2019
ford,1.5,1,0,0,0,0,10985,74.3,17970,0,1,0,0,2019
ford,1.5,1,0,0,0,0,29617,68.9,9330,0,1,0,0,2017
ford,1.0,0,0,0,0,1,47613,65.7,6000,0,1,0,0,2016
ford,1.2,0,0,0,0,1,5122,43.5,8995,0,1,0,0,2019
ford,1.2,0,0,0,0,1,32,48.7,8495,0,1,0,0,2019
ford,1.2,0,0,0,0,1,31562,54.3,6395,0,1,0,0,2016
ford,1.0,0,0,0,0,1,8131,58.9,14495,0,1,0,0,2019
ford,2.0,1,0,0,0,0,24568,31.7,19995,1,0,0,0,2018
ford,2.0,1,0,0,0,0,39605,54.3,18495,1,0,0,0,2017
ford,2.0,1,0,0,0,0,11496,57.6,17995,0,1,0,0,2019
ford,1.2,0,0,0,0,1,51271,54.3,5495,0,1,0,0,2013
ford,1.5,1,0,0,0,0,7189,58.9,16995,1,0,0,0,2018
ford,1.5,1,0,0,0,0,29428,54.3,16495,0,1,0,0,2018
ford,1.5,0,0,0,0,1,12162,39.2,17998,0,1,0,0,2018
ford,1.6,0,0,0,0,1,33023,44.1,7498,0,0,0,1,2014
ford,1.0,0,0,0,0,1,2714,49.6,17498,0,1,0,0,2019
ford,2.0,1,0,0,0,0,17051,56.5,17498,0,1,0,0,2017
ford,1.5,1,0,0,0,0,44304,76.4,5998,0,1,0,0,2013
ford,1.5,0,0,0,0,1,4844,34.4,17698,0,1,0,0,2019
ford,2.0,1,0,0,0,0,31810,60.1,11000,0,1,0,0,2016
ford,1.5,0,0,0,0,1,43081,44.8,8700,0,1,0,0,2017
ford,2.0,1,0,0,0,0,47159,54.3,15300,0,1,0,0,2017
ford,1.0,0,0,0,0,1,25000,65.7,7490,0,1,0,0,2013
ford,1.0,0,0,0,0,1,29891,60.1,10760,0,1,0,0,2017
ford,1.5,0,0,0,0,1,10237,39.2,18760,0,1,0,0,2019
ford,1.0,0,0,0,0,1,48653,65.7,6360,0,1,0,0,2014
ford,1.0,0,0,0,0,1,60888,65.7,6270,0,1,0,0,2014
ford,1.5,0,0,0,0,1,15815,38.2,17920,1,0,0,0,2017
ford,1.0,0,0,0,0,1,74128,65.7,4790,0,1,0,0,2013
ford,1.5,1,0,0,0,0,50124,74.3,7830,0,1,0,0,2015
ford,1.5,1,0,0,0,0,29851,76.4,6990,0,1,0,0,2015
ford,2.0,1,0,0,0,0,24105,48.7,18640,0,1,0,0,2016
ford,1.2,0,0,0,0,1,28935,54.3,6700,0,1,0,0,2015
ford,1.0,0,0,0,0,1,30925,65.7,9498,0,1,0,0,2018
ford,1.0,0,0,0,0,1,13418,58.9,13698,0,1,0,0,2018
ford,1.0,0,0,0,0,1,13756,58.9,13298,0,1,0,0,2018
ford,2.0,1,0,0,0,0,25175,54.3,14398,0,1,0,0,2015
ford,1.1,0,0,0,0,1,21267,64.2,8998,0,1,0,0,2017
ford,1.0,0,0,0,0,1,12130,56.5,12698,0,1,0,0,2019
ford,1.0,0,0,0,0,1,17354,56.5,11998,0,1,0,0,2019
ford,1.0,0,0,0,0,1,15822,58.9,13498,0,1,0,0,2019
ford,1.0,0,0,0,0,1,10557,58.9,13498,0,1,0,0,2019
ford,1.0,0,0,0,0,1,20786,61.4,9698,0,1,0,0,2016
ford,2.3,0,0,0,0,1,7997,36.7,24995,0,1,0,0,2016
ford,1.0,0,0,0,0,1,19079,65.7,9895,0,1,0,0,2017
ford,1.0,0,0,0,0,1,14979,58.9,12995,0,1,0,0,2018
ford,1.6,1,0,0,0,0,47904,56.5,9295,0,1,0,0,2015
ford,1.2,0,0,0,0,1,24410,54.3,8495,0,1,0,0,2016
ford,1.0,0,0,0,0,1,13600,58.9,13895,0,1,0,0,2019
ford,2.0,1,0,0,0,0,21456,67.3,18298,0,1,0,0,2018
ford,1.5,1,0,0,0,0,31512,74.3,9198,0,1,0,0,2015
ford,1.0,0,0,0,0,1,11843,65.7,10798,0,1,0,0,2016
ford,1.0,0,0,0,0,1,31373,65.7,8998,0,1,0,0,2016
ford,1.5,1,0,0,0,0,7796,54.3,18498,0,1,0,0,2018
ford,2.0,1,0,0,0,0,26597,54.3,13498,0,1,0,0,2017
ford,1.5,1,0,0,0,0,15978,64.2,14998,0,1,0,0,2017
ford,1.5,0,0,0,0,1,13265,38.2,13998,1,0,0,0,2017
ford,1.0,0,0,0,0,1,20491,52.3,9998,0,1,0,0,2016
ford,1.0,0,0,0,0,1,16310,50.4,10998,0,1,0,0,2017
ford,2.0,0,0,0,0,1,14557,41.5,17698,0,1,0,0,2017
ford,1.0,0,0,0,0,1,30917,51.4,11498,0,0,0,1,2017
ford,1.5,1,0,0,0,0,22153,74.3,12798,0,1,0,0,2017
ford,1.0,0,0,0,0,1,31743,55.4,8698,0,1,0,0,2015
ford,2.0,1,0,0,0,0,13673,47.9,19495,0,1,0,0,2019
ford,1.0,0,0,0,0,1,25776,65.7,9995,0,1,0,0,2018
ford,1.5,1,0,0,0,0,30923,74.3,10995,0,1,0,0,2016
ford,1.5,1,0,0,0,0,24504,64.2,13998,0,1,0,0,2017
ford,1.0,0,0,0,0,1,6568,62.8,11998,0,1,0,0,2017
ford,1.5,1,0,0,0,0,42960,61.4,8998,0,1,0,0,2016
ford,1.5,1,0,0,0,0,5117,54.3,16698,0,1,0,0,2018
ford,1.0,0,0,0,0,1,31736,53.3,8998,0,1,0,0,2016
ford,1.0,0,0,0,0,1,19212,65.7,7998,0,1,0,0,2015
ford,1.0,0,0,0,0,1,12426,65.7,12495,0,1,0,0,2018
ford,1.2,0,0,0,0,1,12872,57.7,7995,0,1,0,0,2017
ford,1.0,0,0,0,0,1,4111,50.4,21995,0,1,0,0,2020
ford,2.0,1,0,0,0,0,34690,60.1,16995,0,1,0,0,2018
ford,1.0,0,0,0,0,1,32168,65.7,11995,0,1,0,0,2018
ford,2.0,1,0,0,0,0,11312,47.9,19995,0,1,0,0,2019
ford,1.0,0,0,0,0,1,31559,65.7,8995,0,1,0,0,2017
ford,1.2,0,0,0,0,1,23000,57.7,8295,0,1,0,0,2017
ford,1.0,0,0,0,0,1,6442,54.3,14698,0,1,0,0,2018
ford,1.0,0,0,0,0,1,29590,57.7,10498,0,0,0,1,2016
ford,1.0,0,0,0,0,1,17030,57.7,14495,0,1,0,0,2018
ford,1.0,0,0,0,0,1,22493,60.1,8995,0,1,0,0,2016
ford,2.0,1,0,0,0,0,29600,67.3,15995,0,1,0,0,2016
ford,2.0,1,0,0,0,0,26500,58.9,10995,0,0,0,1,2016
ford,2.0,1,0,0,0,0,14000,44.8,19995,0,1,0,0,2017
ford,1.6,1,0,0,0,0,34783,61.4,8295,0,1,0,0,2013
ford,1.6,1,0,0,0,0,56655,67.3,7995,0,1,0,0,2015
ford,2.0,1,0,0,0,0,16000,47.9,19995,0,1,0,0,2019
ford,1.5,1,0,0,0,0,30753,78.5,9995,0,1,0,0,2015
ford,1.0,0,0,0,0,1,1030,47.9,13495,0,1,0,0,2018
ford,1.0,0,0,0,0,1,7817,55.4,12995,0,1,0,0,2017
ford,1.0,0,0,0,0,1,9781,60.1,12995,0,1,0,0,2018
ford,1.0,0,0,0,0,1,17241,54.3,12998,0,1,0,0,2018
ford,1.6,1,0,0,0,0,28309,58.9,10298,0,1,0,0,2015
ford,1.0,0,0,0,0,1,50599,65.7,10498,0,1,0,0,2017
ford,1.5,1,0,0,0,0,37880,74.3,11298,0,0,0,1,2018
ford,2.0,1,0,0,0,0,56888,60.1,10698,0,1,0,0,2016
ford,1.0,0,0,0,0,1,10500,60.1,15995,0,1,0,0,2018
ford,1.6,0,0,0,0,1,50800,44.1,6995,0,0,0,1,2014
ford,1.0,0,0,0,0,1,6700,58.9,13950,0,1,0,0,2019
ford,1.0,0,0,0,0,1,31800,65.7,10650,0,1,0,0,2017
ford,1.2,0,0,0,0,1,20700,54.3,7995,0,1,0,0,2016
ford,1.5,1,0,0,0,0,29900,74.3,11495,0,1,0,0,2016
ford,2.0,1,0,0,0,0,32858,54.3,16995,0,1,0,0,2018
ford,1.0,0,0,0,0,1,31593,65.7,11995,0,1,0,0,2018
ford,1.5,0,0,0,0,1,13791,51.4,10995,0,1,0,0,2015
