brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
hyundi,1.2,0,0,0,0,1,17307,58.9,7999,0,1,0,0,2017
hyundi,2.0,1,0,0,0,0,25233,43.5,14499,1,0,0,0,2016
hyundi,1.7,1,0,0,0,0,37877,61.7,11399,0,1,0,0,2016
hyundi,1.0,0,0,0,0,1,23789,60.1,6499,0,1,0,0,2016
hyundi,2.0,1,0,0,0,0,33177,51.4,10199,0,1,0,0,2015
hyundi,1.0,0,0,0,0,1,41650,60.1,6149,0,1,0,0,2015
hyundi,1.2,0,0,0,0,1,39547,55.4,6799,0,1,0,0,2015
hyundi,1.7,1,0,0,0,0,30300,57.6,14199,1,0,0,0,2016
hyundi,1.4,0,0,0,0,1,38082,51.4,10399,1,0,0,0,2018
hyundi,1.7,1,0,0,0,0,21014,61.7,12163,0,1,0,0,2016
hyundi,1.7,1,0,0,0,0,22888,61.7,13200,0,1,0,0,2017
hyundi,1.0,0,0,0,0,1,20000,56.5,10000,0,1,0,0,2017
hyundi,1.2,0,0,0,0,1,26413,55.4,6900,0,1,0,0,2015
hyundi,1.6,0,0,0,0,1,10000,34.9,17750,0,1,0,0,2019
hyundi,1.7,1,0,0,0,0,18626,57.6,14600,0,0,0,1,2017
hyundi,1.7,1,0,0,0,0,31979,65.7,8700,0,1,0,0,2015
hyundi,1.7,1,0,0,0,0,26685,61.7,13000,0,1,0,0,2017
hyundi,1.0,0,0,0,0,1,35000,60.1,7100,0,1,0,0,2018
hyundi,1.2,0,0,0,0,1,6000,57.6,7500,0,1,0,0,2016
hyundi,1.7,1,0,0,0,0,17059,61.7,12000,0,1,0,0,2017
hyundi,1.6,0,0,0,0,1,49174,44.8,11695,0,1,0,0,2017
hyundi,1.2,0,0,0,0,1,6413,55.4,7995,0,1,0,0,2015
hyundi,1.7,1,0,0,0,0,34177,61.7,10700,0,1,0,0,2015
hyundi,1.2,0,0,0,0,1,7447,57.6,8100,0,1,0,0,2016
hyundi,1.7,1,0,0,0,0,34500,53.3,8200,0,1,0,0,2013
hyundi,1.2,0,0,0,0,1,16751,57.6,6600,0,1,0,0,2016
hyundi,1.6,0,0,0,0,1,16265,44.8,13900,0,1,0,0,2018
hyundi,1.6,0,0,0,0,1,19087,44.8,13700,0,1,0,0,2018
hyundi,1.6,1,0,0,0,0,38206,78.4,8300,0,1,0,0,2017
hyundi,1.7,1,0,0,0,0,20025,57.6,15800,1,0,0,0,2016
hyundi,1.6,0,0,1,0,0,32227,78.5,15000,1,0,0,0,2018
hyundi,0.0,1,0,0,0,0,28904,46.3,15200,1,0,0,0,2015
hyundi,0.0,0,0,0,0,1,8646,45.6,7700,1,0,0,0,2014
hyundi,0.0,1,0,0,0,0,17663,72.4,10500,1,0,0,0,2017
hyundi,0.0,0,0,0,0,1,12661,44.1,11400,1,0,0,0,2017
hyundi,1.0,0,0,0,0,1,7359,52.3,12995,0,1,0,0,2018
hyundi,1.6,0,0,0,0,1,4353,35.3,18000,0,1,0,0,2019
hyundi,0.0,0,0,0,0,1,7126,60.1,9000,0,1,0,0,2018
hyundi,1.6,0,0,0,0,1,36324,43.5,8300,0,1,0,0,2014
hyundi,0.0,0,0,0,0,1,12948,60.1,8500,0,1,0,0,2018
hyundi,0.0,0,0,0,0,1,2481,41.5,14500,0,1,0,0,2019
hyundi,0.0,1,0,0,0,0,27311,61.7,13800,0,1,0,0,2016
hyundi,0.0,1,0,0,0,0,34443,78.4,9000,0,1,0,0,2016
hyundi,0.0,1,0,0,0,0,16961,61.7,13800,0,1,0,0,2017
hyundi,1.6,0,0,0,0,1,5067,44.8,14100,0,1,0,0,2017
hyundi,0.0,0,0,0,0,1,45230,61.4,5000,0,1,0,0,2013
hyundi,0.0,0,0,0,0,1,6349,57.6,10300,0,1,0,0,2018
hyundi,0.0,1,0,0,0,0,13268,65.7,11500,0,1,0,0,2015
hyundi,0.0,1,0,0,0,0,29610,78.4,9000,0,1,0,0,2016
hyundi,0.0,1,0,0,0,0,23041,51.4,11400,0,1,0,0,2015
hyundi,0.0,0,0,0,0,1,21821,61.4,10000,0,1,0,0,2017
hyundi,0.0,0,0,0,0,1,17397,60.1,7800,0,1,0,0,2018
hyundi,0.0,0,0,0,0,1,31854,60.1,6300,0,1,0,0,2016
hyundi,0.0,1,0,0,0,0,37993,61.7,11300,0,1,0,0,2016
hyundi,0.0,1,0,0,0,0,30305,31.7,15500,0,1,0,0,2018
hyundi,0.0,0,0,0,0,1,3920,46.3,11700,0,1,0,0,2018
hyundi,1.6,0,0,0,0,1,21875,38.7,16800,0,1,0,0,2017
hyundi,1.0,0,0,0,0,1,27465,60.1,6500,0,1,0,0,2016
hyundi,1.0,0,0,0,0,1,4920,60.1,8600,0,1,0,0,2019
hyundi,1.4,0,0,0,0,1,18577,48.7,9400,0,1,0,0,2016
hyundi,1.4,0,0,0,0,1,42320,45.6,6000,0,1,0,0,2013
hyundi,0.0,1,0,0,0,0,23310,61.7,15000,0,1,0,0,2017
hyundi,0.0,0,0,0,0,1,22397,34.9,15000,0,1,0,0,2019
hyundi,0.0,0,0,0,0,1,10066,34.9,16300,0,1,0,0,2019
hyundi,0.0,0,0,0,0,1,13148,60.1,8300,0,1,0,0,2018
hyundi,0.0,1,0,0,0,0,7691,31.7,18500,0,1,0,0,2019
hyundi,1.7,1,0,0,0,0,21898,61.7,12300,0,1,0,0,2016
hyundi,1.0,0,0,0,0,1,24740,60.1,6500,0,1,0,0,2016
hyundi,1.0,0,0,0,0,1,20127,60.1,5500,0,1,0,0,2014
hyundi,2.5,1,0,0,0,0,34103,33.6,15299,1,0,0,0,2018
hyundi,1.6,1,0,0,0,0,21152,64.2,9000,0,1,0,0,2016
hyundi,1.0,0,0,0,0,1,15618,60.1,7600,0,1,0,0,2017
hyundi,0.0,0,0,0,0,1,15594,60.1,7300,0,1,0,0,2017
