brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
merc,1.8,0,0,0,0,1,63000,32.1,5200,1,0,0,0,2005
merc,2.1,0,0,1,0,0,27000,61.4,34948,1,0,0,0,2017
merc,5.5,0,0,0,0,1,6200,28.0,49948,1,0,0,0,2016
merc,4.0,0,0,0,0,1,16000,30.4,61948,1,0,0,0,2016
merc,4.0,0,0,0,0,1,4000,30.1,73948,1,0,0,0,2016
merc,6.2,0,0,0,0,1,3000,21.4,149948,1,0,0,0,2011
merc,2.1,1,0,0,0,0,16000,47.9,30948,1,0,0,0,2018
merc,3.5,0,0,0,0,1,107000,36.7,10948,1,0,0,0,2012
merc,4.0,0,0,0,0,1,12000,21.4,139948,1,0,0,0,2019
merc,2.1,1,0,0,0,0,15258,64.2,19750,1,0,0,0,2017
merc,2.0,0,0,0,0,1,606,35.8,32980,1,0,0,0,2020
merc,1.5,1,0,0,0,0,1000,62.8,26980,1,0,0,0,2020
merc,2.0,1,0,0,0,0,278,55.4,23750,1,0,0,0,2019
merc,4.0,0,0,0,0,1,5500,21.7,67980,1,0,0,0,2019
merc,2.1,1,0,0,0,0,41713,56.6,18980,1,0,0,0,2016
merc,1.5,1,0,0,0,0,24841,68.9,15890,1,0,0,0,2017
merc,2.1,1,0,0,0,0,30281,60.1,19890,1,0,0,0,2017
merc,3.0,0,0,0,0,1,2483,29.5,56800,1,0,0,0,2019
merc,2.1,1,0,0,0,0,14128,68.9,17513,1,0,0,0,2017
merc,2.1,1,0,0,0,0,20498,64.2,15701,1,0,0,0,2014
merc,2.0,1,0,0,0,0,9949,64.2,26601,1,0,0,0,2019
merc,2.1,1,0,0,0,0,31656,64.2,17672,1,0,0,0,2016
merc,3.0,1,0,0,0,0,21874,51.4,20769,1,0,0,0,2015
merc,3.0,1,0,0,0,0,13398,52.3,22270,1,0,0,0,2017
merc,3.0,1,0,0,0,0,13581,36.2,34129,1,0,0,0,2015
merc,2.1,1,0,0,0,0,16730,70.6,20601,1,0,0,0,2017
merc,3.0,1,0,0,0,0,13887,49.6,25077,1,0,0,0,2016
merc,2.1,1,0,0,0,0,2780,70.6,21609,1,0,0,0,2017
merc,2.0,0,0,0,0,1,8725,47.9,22914,1,0,0,0,2018
merc,2.1,1,0,0,0,0,25042,64.2,19328,1,0,0,0,2016
merc,2.0,1,0,0,0,0,7990,54.3,29546,1,0,0,0,2019
merc,3.0,1,0,0,0,0,26153,45.6,35611,1,0,0,0,2019
merc,2.1,1,0,0,0,0,31371,65.7,15311,1,0,0,0,2017
merc,1.3,0,0,0,0,1,2563,47.9,28128,1,0,0,0,2020
merc,1.3,0,0,0,0,1,1173,44.8,23184,0,1,0,0,2019
merc,2.1,1,0,0,0,0,24092,70.6,15787,1,0,0,0,2017
merc,2.1,1,0,0,0,0,14517,56.5,30682,1,0,0,0,2018
merc,2.0,1,0,0,0,0,11000,56.5,25701,1,0,0,0,2019
merc,2.0,0,0,0,0,1,3500,64.2,31790,1,0,0,0,2020
merc,2.0,1,0,0,0,0,2471,56.5,25190,1,0,0,0,2019
merc,1.8,0,0,0,0,1,43955,43.5,15990,1,0,0,0,2014
merc,2.9,1,0,0,0,0,18837,47.9,34990,1,0,0,0,2018
merc,2.1,1,0,0,0,0,9886,41.5,30799,1,0,0,0,2019
