brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
skoda,1.4,0,0,0,0,1,25250,54.3,10550,0,1,0,0,2017
skoda,1.0,0,0,0,0,1,1264,67.3,8200,0,1,0,0,2018
skoda,2.0,1,0,0,0,0,6825,67.3,15650,1,0,0,0,2019
skoda,2.0,1,0,0,0,0,28431,51.4,14000,1,0,0,0,2015
skoda,1.5,0,0,0,0,1,10912,40.9,18350,0,1,0,0,2019
skoda,2.0,1,0,0,0,0,47005,51.4,13250,1,0,0,0,2017
skoda,1.5,0,0,0,0,1,14850,40.9,15250,0,1,0,0,2019
skoda,2.0,1,0,0,0,0,5850,50.4,18950,1,0,0,0,2019
skoda,2.0,0,0,0,0,1,2633,31.4,29900,1,0,0,0,2019
skoda,2.0,0,0,0,0,1,20000,43.5,18990,0,1,0,0,2017
skoda,2.0,1,0,0,0,0,91280,64.2,8500,1,0,0,0,2016
skoda,1.6,1,0,0,0,0,84450,74.3,8695,0,1,0,0,2017
skoda,1.6,1,0,0,0,0,109060,68.9,7000,0,1,0,0,2016
skoda,1.2,0,0,0,0,1,33013,57.7,7950,0,1,0,0,2016
skoda,1.5,0,0,0,0,1,12894,51.4,19772,0,1,0,0,2018
skoda,1.2,0,0,0,0,1,54631,49.6,4695,0,1,0,0,2012
skoda,1.2,0,0,0,0,1,61000,49.6,4250,0,1,0,0,2012
skoda,1.6,1,0,0,0,0,31866,72.4,13490,1,0,0,0,2018
skoda,2.0,1,0,0,0,0,41936,48.7,9980,0,1,0,0,2014
skoda,1.0,0,0,0,0,1,15282,64.2,11290,0,1,0,0,2017
skoda,1.0,0,0,0,0,1,731,50.4,17000,0,1,0,0,2020
skoda,1.5,0,0,0,0,1,14449,55.4,13490,0,1,0,0,2019
skoda,1.0,0,0,0,0,1,14896,57.7,14490,1,0,0,0,2019
skoda,2.0,0,0,0,0,1,7000,47.9,19000,1,0,0,0,2019
skoda,1.0,0,0,0,0,1,6000,51.4,13490,0,1,0,0,2019
skoda,1.5,0,0,0,0,1,13939,40.9,14690,0,1,0,0,2018
skoda,1.2,0,0,0,0,1,10660,60.1,11890,1,0,0,0,2017
skoda,1.5,0,0,0,0,1,11932,34.0,21290,1,0,0,0,2019
skoda,2.0,1,0,0,0,0,14398,49.6,28000,1,0,0,0,2019
skoda,2.0,1,0,0,0,0,10587,62.8,17490,1,0,0,0,2019
skoda,1.5,0,0,0,0,1,5000,36.7,23000,1,0,0,0,2019
skoda,1.0,0,0,0,0,1,12368,50.4,8690,0,1,0,0,2019
skoda,1.0,0,0,0,0,1,2174,50.4,12690,0,1,0,0,2019
skoda,2.0,0,0,0,0,1,3785,31.4,29000,1,0,0,0,2019
skoda,2.0,0,0,0,0,1,5705,31.4,29000,1,0,0,0,2019
skoda,2.0,1,0,0,0,0,8448,61.4,20000,1,0,0,0,2017
skoda,2.0,1,0,0,0,0,18200,51.4,16000,1,0,0,0,2016
skoda,1.6,1,0,0,0,0,13393,72.4,13690,1,0,0,0,2019
skoda,1.6,1,0,0,0,0,15084,68.9,13000,0,1,0,0,2019
skoda,2.0,0,0,0,0,1,15,38.2,24490,1,0,0,0,2019
skoda,1.0,0,0,0,0,1,2696,64.2,13000,0,1,0,0,2019
skoda,1.0,0,0,0,0,1,4597,57.7,10290,0,1,0,0,2019
skoda,1.6,1,0,0,0,0,14375,70.6,14590,1,0,0,0,2019
skoda,1.2,0,0,0,0,1,15000,58.9,9690,0,1,0,0,2016
skoda,1.6,1,0,0,0,0,12421,68.9,12695,0,1,0,0,2019
skoda,1.5,0,0,0,0,1,15296,51.4,20490,0,1,0,0,2018
skoda,2.0,0,0,0,0,1,5347,33.2,25390,1,0,0,0,2019
skoda,1.5,0,0,0,0,1,14741,52.3,14695,0,1,0,0,2019
skoda,2.0,1,0,0,0,0,5790,39.2,31000,1,0,0,0,2020
skoda,1.0,0,0,0,0,1,4990,49.6,15290,0,1,0,0,2019
skoda,2.0,0,0,0,0,1,21000,38.2,25000,1,0,0,0,2017
skoda,1.0,0,0,0,0,1,15043,68.9,7490,0,1,0,0,2018
skoda,1.2,0,0,0,0,1,25500,51.4,14750,1,0,0,0,2017
