Gerçek Değerler,Tahmin Edilen Değerler
17500,17718.615
22041,17130.63
12046,12219.642
7650,9035.218
18022,18016.305
24995,28243.83
32000,38058.11
14250,11454.024
27850,28111.064
16990,18010.682
42987,36800.68
9295,9510.548
14000,15899.177
5995,5328.3823
16800,16221.274
12990,12901.632
14490,18492.428
5295,7655.613
43990,41658.664
22421,25459.998
7799,12915.743
17698,17067.924
5990,6182.569
22480,25381.645
19700,23184.883
14250,15835.164
27000,21733.068
7995,4972.9165
21440,20020.34
16995,20702.236
17970,17433.457
17500,18842.846
1445,2462.5793
39750,42949.32
21990,22929.02
9490,9354.606
11995,12225.891
11995,14341.128
16479,15268.993
9627,11395.051
13300,14571.849
5300,4540.7417
8750,7342.821
23980,25862.553
12500,11620.577
7500,11376.964
11399,9848.687
17990,16911.35
23990,25098.334
4495,6344.146
12490,12433.635
8998,8863.155
23740,26222.14
15200,13702.759
11460,10907.273
13990,13150.335
10991,10109.494
8675,11462.142
6840,7422.1807
11180,11563.583
16495,17706.928
12798,12029.827
11793,11587.515
49999,41296.246
9721,9016.291
8490,11139.472
15390,15514.417
9510,8346.251
6498,7505.253
15995,17812.646
14789,14445.737
41990,43845.277
12470,11482.967
17520,14133.936
16630,15522.863
12999,12265.428
13980,15118.921
34995,26251.207
14700,15331.665
10700,10576.194
24549,23739.213
18291,18874.469
11490,16220.124
9300,9834.437
27998,30716.562
20495,23286.727
10000,10691.592
24500,23723.162
2950,3958.5957
2995,3307.15
14795,15031.078
23290,24503.354
7200,7218.1147
23149,25052.791
12299,11373.9795
22399,29611.275
15600,16404.658
9798,8193.198
13500,12975.503
5991,8104.6216
12995,10443.251
8800,10458.485
40980,40735.54
12350,14095.772
18192,16733.447
7795,8461.071
34950,28631.086
24998,23504.271
11800,9495.428
14145,15526.798
12498,11812.751
9290,9827.726
21999,21177.111
17790,16093.004
11450,10024.356
20999,21880.666
8380,10311.116
15690,17901.865
18981,20546.865
10991,13730.849
24490,23929.58
32750,29770.457
10360,12367.296
12295,12731.731
19000,18706.361
11498,13442.821
21999,21807.572
13590,16321.403
11390,12349.535
11000,14185.236
16099,18033.148
20800,18298.428
33000,35209.0
31990,34226.92
24250,26118.19
24749,23328.506
24495,33831.215
24695,18917.049
13999,11519.196
53500,42495.992
12600,13577.959
31990,28241.244
7695,8656.319
34849,38991.734
12485,14402.552
18030,15214.882
8400,9333.435
20990,22352.14
11990,9985.867
5495,4649.0537
11961,15541.328
12619,14446.397
18890,18780.463
8500,9055.867
12998,13809.071
17450,16494.04
15681,14275.018
14000,13621.034
5898,6315.898
17500,15447.858
8795,8708.462
29450,28769.78
29480,28415.957
32449,28740.18
27950,24313.283
8500,10381.4795
30950,30049.604
13800,14451.923
18910,16391.387
22890,21814.768
19995,17464.383
10991,9907.716
12491,15190.403
12450,13850.856
16950,17181.031
7000,6164.114
18000,15366.768
20766,23220.049
8000,7519.489
18300,24966.467
5500,6746.563
6995,7114.8296
6541,6474.3203
6450,5160.163
28490,30726.916
6992,7156.7427
39000,41261.695
19000,19486.94
26480,27205.787
16750,15290.8545
30899,29033.293
26250,22065.193
26991,28345.318
21000,19890.678
10295,9930.044
31000,22990.633
24990,23201.303
15299,17908.418
11500,9529.499
29941,28120.428
16000,17929.592
10991,11738.847
18200,21193.564
8695,8256.7295
18988,18865.486
10260,12905.243
5498,5827.8296
2876,4749.6387
19750,14715.341
7950,8782.829
24488,25943.19
9000,9018.409
12998,15664.106
10440,16613.568
6691,7453.8125
10250,8500.447
20000,19421.17
10696,9409.595
9180,11278.101
20450,16387.379
18799,16738.812
15495,16648.555
13550,14024.978
14430,13930.219
29998,27561.26
24849,26432.838
22495,21047.67
24790,23156.438
25980,22045.045
12299,10848.792
10750,10578.965
25494,20802.77
8471,13587.794
14798,12097.308
7995,7586.2393
20998,21063.627
43995,40551.156
12900,13555.8545
13798,13476.3125
11895,13957.433
10800,11459.487
31275,27238.28
12298,11179.282
18350,18893.82
21995,17742.678
6000,5480.4355
13698,12782.083
13998,15738.681
29000,32150.094
8250,11644.277
15989,18940.86
6250,6855.7773
13422,17281.908
7595,6956.729
15749,14176.547
11980,11008.114
17990,18261.752
27500,24120.521
41850,44819.562
49000,42477.414
10798,16320.831
37995,38907.35
33444,37450.21
20298,23712.623
23490,27370.53
20792,19603.244
13275,11714.508
7058,5854.923
8700,9770.411
17049,20685.246
35000,40925.184
19980,21491.213
14485,15486.998
19490,22409.273
34544,28947.547
40980,44082.977
23099,25011.654
21990,23188.525
26695,24638.861
2295,2001.5088
19989,14125.781
16998,22664.701
26132,27885.09
17998,16292.052
9999,14397.482
21240,25275.352
14849,16626.275
20875,21142.951
7637,8394.839
18999,16873.822
7540,10930.38
21495,19579.287
14799,15673.432
9000,8953.417
11990,11475.36
10499,12172.733
8488,7919.948
32999,26559.37
30000,36407.336
19698,22321.514
13799,12629.817
34990,27060.256
13000,11847.21
6999,5544.763
22500,22644.803
5795,7512.9717
22250,17476.748
24450,23063.338
25900,33385.83
6750,7231.586
9999,11495.056
18250,16887.232
23250,25032.049
13299,12079.397
8498,10076.569
11300,10373.323
20030,16301.452
11990,12564.022
26995,28597.898
7190,9499.229
14250,11601.494
16695,19402.361
26980,25623.088
13995,18269.607
13990,18332.193
13990,14110.437
17491,18415.377
5830,8095.698
15888,15996.658
27995,31255.395
7395,9246.194
10298,10280.062
23591,25829.37
19698,20584.627
12498,13626.579
5298,5737.068
19999,16609.895
4000,3343.883
8900,9436.853
15995,19193.531
26999,20293.518
32980,26780.984
15290,14398.248
7995,5509.808
6450,8244.493
21857,20574.545
7295,7027.733
10500,9666.188
11998,10112.584
7995,8280.513
8591,9643.485
26980,28662.383
16370,17077.77
15499,15372.324
35790,37738.2
7999,6025.988
19495,19134.646
22495,21527.29
18495,15095.915
48980,42393.906
9500,9712.451
7795,7055.9155
13698,17261.68
9300,10415.381
7460,11676.327
7449,8185.8267
21995,17838.9
7398,7834.972
6000,5291.67
6795,6899.3228
19990,16233.548
7500,5651.8887
13231,12310.782
10700,9945.8
13100,12655.401
7997,10504.93
15767,17965.87
22950,28122.559
19995,18450.148
12495,10417.823
27999,29392.13
15250,19053.63
20995,20735.412
23895,22483.121
11490,11321.468
14400,12657.265
17495,15507.737
14990,12785.171
10495,11397.562
14495,13489.735
10707,11011.5625
4990,8143.169
14000,14327.382
7300,6920.4985
16499,16467.445
30950,34490.16
16990,18733.2
25490,26463.225
8498,8320.251
10495,10662.955
11298,9437.61
8199,9846.062
6290,7960.246
14500,13987.494
23990,22033.13
17998,17923.064
26149,26573.402
16700,20039.42
25925,19563.658
17999,20471.322
12000,16483.197
32500,32834.14
19450,20430.826
14495,15275.267
37999,35822.023
7500,10389.143
19995,17184.715
9600,10262.093
36440,29209.18
30990,28362.744
40900,39184.133
23590,28481.615
27490,20229.455
32888,25510.393
21800,22995.127
15490,18768.693
27000,34473.516
13495,13339.101
19792,19756.541
29995,29159.041
21250,25760.904
9000,9198.86
22495,20322.361
10595,10061.044
13890,13225.579
15999,15925.218
6300,6051.469
17299,19865.953
22990,23510.912
6795,7688.8833
11980,10624.786
5990,5760.184
6990,11338.8125
7000,6028.141
18495,22772.678
16500,17566.908
28299,31849.342
14640,17061.63
17998,22583.666
21902,27385.068
19500,18853.777
9995,9670.289
11500,12227.655
20000,18844.98
13995,9447.476
13609,14253.363
14558,14938.109
9990,9242.372
5395,7673.599
18970,18498.236
25915,21926.248
23990,23896.814
26000,21810.58
5500,5219.3457
20699,23011.543
25432,18750.764
16872,16426.232
19900,19468.541
8995,14261.177
21400,26486.424
35659,36633.637
14000,13776.501
15000,17881.072
10997,11199.99
8695,8517.456
11600,12566.565
15499,15402.484
21498,20419.6
23700,26539.139
29000,20751.193
9677,9702.489
7495,7870.804
45881,34785.766
19998,22881.754
28498,22010.467
33612,28199.107
12497,11771.433
23489,26249.508
15000,15221.302
13442,12707.701
26991,26708.744
17797,20985.645
21990,18312.252
13800,13515.755
10695,12598.048
5000,4477.229
22079,25109.037
17498,23133.168
24850,26030.938
14000,12964.407
9999,16503.35
16500,16419.564
13299,12399.136
10000,13192.712
11990,13402.128
29998,25131.719
19212,18607.287
17990,22977.764
6295,7433.7583
42650,25575.06
9950,9143.238
26995,28880.104
7676,6967.7153
9299,12132.185
19000,23558.432
11100,13672.993
8000,6630.358
11552,9958.798
22500,20242.625
27000,30045.314
16962,15471.288
8491,8845.778
26990,23540.037
20550,22180.95
8999,12472.456
21900,18604.486
9998,12237.58
10000,8793.121
22000,20530.143
21490,25579.986
31490,34579.664
15591,12491.052
7991,8377.364
25999,20737.363
11499,12359.905
8450,10159.456
16490,16993.414
18696,19071.54
17500,18388.992
36985,39722.184
18731,18276.0
33980,31192.125
11699,9580.925
17490,17407.883
28998,23125.154
5490,11076.679
24990,25096.219
15380,16998.25
11795,11826.511
15000,15457.387
18190,22424.748
13995,12296.034
16800,16040.685
17481,15169.626
44490,45617.62
5500,5533.005
7290,8218.531
5295,6669.4507
21995,25166.584
8750,9756.964
13980,17175.436
9150,11583.481
10999,14142.918
22797,24566.979
46599,45610.4
30980,26880.764
10995,14049.683
10950,10694.761
19495,31994.168
22985,24748.664
3689,3217.063
8495,9100.066
9991,9156.925
19499,20684.9
34000,29384.111
9242,8818.44
2395,2639.5178
17750,19398.443
20490,21155.326
13277,11783.791
24999,23647.871
17750,20907.22
7541,10361.28
13695,12189.1
14790,15741.459
6160,7107.4673
19495,18915.9
14950,15706.452
11300,10610.411
15648,16999.299
17494,15374.437
15690,17147.383
9298,9110.612
17880,21303.393
7995,7084.0923
29500,28644.896
29480,27671.826
27950,26501.164
10500,15742.03
15800,14588.059
10990,7650.5776
29995,28597.502
2990,3615.5764
21115,24342.814
9800,8159.85
31999,33438.58
12291,13420.64
18052,15745.394
2995,3461.473
15000,14818.444
9798,10326.691
14190,10839.347
13290,12630.915
23950,30073.6
22400,22062.225
43990,50423.023
30995,27187.12
14698,16320.415
29499,26229.441
26995,24390.43
11320,9582.119
23499,37405.41
8490,8290.618
11500,12394.088
20370,20542.854
42550,43195.39
7595,6655.078
9995,7836.9585
13890,16446.59
18000,14932.336
13000,13827.796
10300,9065.923
11298,9535.07
18400,13077.8
11395,9490.692
3295,3534.6829
18490,23538.807
9998,10663.231
10870,14195.236
12000,12955.661
10995,11375.96
8933,12306.665
9400,11514.088
19500,11358.562
6795,5499.9307
34590,26970.666
32445,32918.117
16995,12535.235
16600,17436.842
15995,12633.307
8480,9646.37
10288,9864.214
11560,11588.204
14995,11135.409
8490,9072.011
28975,19955.107
13199,12126.317
20500,22298.084
8750,8611.663
21495,21063.516
8345,8930.142
6998,8515.283
20000,20864.545
4500,8471.835
22295,26356.979
14000,14616.845
16799,17909.154
18532,18856.26
11200,15442.656
23998,23635.598
9895,9618.902
32499,36338.207
11495,11923.059
19995,24840.033
53989,62388.094
27099,26410.494
9995,9727.772
7992,9111.615
38000,37078.92
11695,14648.197
21290,22562.541
31394,23632.365
14900,18031.186
42840,48768.53
24998,25005.018
16495,17007.107
24799,23333.361
16995,15855.522
20998,19935.482
8695,9927.495
33450,27300.533
9500,9141.228
13490,15291.849
9799,10660.681
14298,14348.843
6936,7457.4795
8998,6042.8633
40599,44249.35
8503,11630.816
17490,16994.787
37999,42222.25
11644,11701.462
8495,8376.687
16990,18073.197
16498,16472.818
36900,28200.469
9690,10878.626
8000,6490.352
25495,24267.115
30444,28341.691
24669,37918.4
7714,9092.927
29240,28409.812
51980,46967.93
9362,7120.4097
32499,35756.055
17999,15895.053
22646,20079.117
16995,19804.549
26500,27754.396
9690,8721.251
18998,23171.963
23950,22867.748
1995,3601.0776
23995,22147.248
17000,15261.998
10691,9818.88
11995,13809.976
11180,10015.929
13490,14840.593
23480,25381.264
18944,17533.998
7990,7717.805
9997,9072.96
25990,26261.97
40099,35999.387
7995,7291.3374
12480,12492.784
10998,11088.409
13750,13496.094
20995,21788.627
22399,20262.088
15500,14829.062
8895,9353.188
13990,16485.057
8260,8618.093
43863,40286.65
8300,8021.288
16699,19659.24
6500,5355.2026
24998,23321.494
18449,19248.705
24990,22082.541
19500,16538.643
5950,8743.206
12490,14594.8
14985,13079.31
8250,8356.948
21925,19960.64
23480,22142.729
17400,18722.61
9999,10364.419
32500,35275.78
6790,5721.5786
22980,23681.277
10399,8900.65
10499,12490.159
22124,24091.76
6491,6546.2246
20006,22212.701
14998,12678.717
9500,9907.769
9500,10907.248
11899,11639.472
5295,4838.5693
21750,17014.416
15490,17621.498
18995,22242.992
15995,17704.424
13495,13990.862
9295,12303.628
6720,6877.636
21111,18238.781
7998,7987.1733
19300,19232.969
9391,10875.233
21499,19078.666
4599,4670.8843
28975,38564.09
24999,28490.932
19995,15553.805
28180,29298.66
8800,7829.734
9895,12469.138
13750,14132.735
9798,9211.291
25000,25390.486
15499,15292.244
19000,19819.15
24510,21718.47
29888,25060.92
19989,17428.771
25650,23321.635
34980,27349.389
16999,21037.404
33892,29304.338
8010,6984.032
6699,7895.5894
5995,7888.598
19500,19299.162
25079,23106.654
10770,12917.576
18290,17253.717
11649,11062.258
12490,11177.167
36495,29372.2
9600,11466.182
2495,3898.3562
19980,20365.19
18770,19918.986
18200,16728.854
9950,9774.034
31990,32140.072
32995,27632.307
33400,30104.639
8000,6979.2417
8764,7527.009
23498,26265.664
8495,11601.224
21490,25318.291
9263,8583.474
11999,10745.968
13950,15233.014
19470,20699.023
16427,12800.856
11995,12918.478
12990,11744.84
13941,14838.162
8550,8328.401
9995,12629.579
10490,11353.614
15339,15762.86
12999,11872.87
5500,7425.7393
26599,26538.057
33789,28727.352
19000,18101.545
29990,28850.316
4750,5113.157
17500,14538.811
7899,10225.653
14999,14130.29
10000,10223.122
22949,22071.72
16962,15732.08
23198,25272.598
6795,8466.569
27000,25685.713
23904,30140.725
22950,26068.705
17450,19048.346
14399,20048.799
17042,16748.896
8795,7323.466
6495,7549.2827
7990,9307.765
6499,8312.284
15502,13375.261
4295,10474.19
17999,20049.752
8999,10373.384
15999,14517.186
15280,16570.389
22912,20292.588
7499,7995.4414
23000,26752.633
17800,14197.657
12499,14033.159
18990,13542.355
44991,37689.086
22499,21243.846
20500,22572.562
13650,16295.487
8991,9943.345
23500,25182.12
10298,8343.315
12850,12613.397
6840,7391.13
18500,16191.226
12250,10783.993
12995,14007.274
24950,25791.943
29549,27893.553
7995,8747.356
18695,20210.15
35409,38833.15
14000,13538.024
24099,22420.975
12495,8329.982
30799,29416.865
41949,44022.996
18329,16915.416
7990,8162.895
19971,21373.842
14900,14740.833
24995,20598.838
12499,12360.046
15990,13813.213
11890,12965.345
11578,10253.433
17798,14792.095
24132,22806.549
12000,12460.091
12480,11559.831
38990,41417.562
11175,14670.98
33990,37441.836
16300,12060.487
17800,18589.592
14490,13319.571
21995,20347.748
33850,33148.875
33490,34441.984
20700,19384.742
12995,12301.449
26990,24049.355
12095,9305.615
24449,26612.955
7899,11061.087
6250,6384.555
10731,11669.128
19300,21750.021
20970,18618.025
11298,9339.558
6495,6583.725
8489,10069.892
30980,37978.875
8991,11140.462
9995,12787.143
5599,7348.6426
12698,11069.319
7498,9005.244
12990,13187.697
20995,18021.902
23295,25536.037
11750,13411.205
35890,31258.043
7490,7556.3735
9995,15571.572
18900,24704.346
12499,12265.376
14245,14664.724
5990,5016.2017
14100,12963.059
16995,18948.396
19498,18658.945
10500,11475.204
42510,30804.99
9991,9952.688
14399,18001.156
18940,21428.021
19999,19713.33
18690,16062.761
10295,8987.784
13490,13409.634
7430,7365.424
21500,20679.22
19940,18324.555
26995,22275.387
23500,24737.691
6934,5923.823
12700,14429.656
44160,30599.088
23843,26347.988
27990,34600.78
13700,18767.533
28150,27818.686
19538,19710.553
45499,42843.4
8491,10780.059
24988,32947.676
17520,13930.482
19797,16224.501
11300,11711.868
13900,13588.429
9970,10084.069
38191,32074.85
36995,28951.844
16995,19507.686
7995,8390.671
22970,20714.1
14650,18393.627
16750,17002.752
8999,11875.025
8995,8183.4863
12800,12481.774
22995,24933.799
17590,15912.302
24500,24488.13
25472,24821.568
17290,16287.198
21990,19615.72
17850,17690.012
12700,13840.53
17490,18982.525
16689,16653.377
5790,5209.3135
7568,6550.854
14498,14513.87
22995,24859.184
11291,9451.112
25990,29651.22
27480,25238.37
12498,13526.548
9690,11112.491
5290,4231.2363
16299,20015.182
14450,18059.17
13290,14134.7
18000,19651.758
12495,14352.275
19998,16548.307
17900,20313.94
19698,24798.826
5998,6161.234
12500,12043.0625
14053,15683.31
6990,10194.294
9495,8369.053
16990,15758.73
7498,8187.8823
12399,12028.197
14750,11323.162
17995,13850.435
8890,8020.6187
15990,16047.906
18499,15483.037
19750,28166.537
4237,5121.197
14500,16380.92
18689,15935.903
17770,17471.914
33450,32511.543
27298,29384.537
11799,13357.969
10691,11030.991
12500,12434.304
14995,12446.321
7950,11693.066
8995,10950.001
22990,25345.393
10990,12761.46
38999,35763.652
16495,16374.774
18995,23989.865
32990,23149.275
10000,8486.261
29799,28012.213
11869,11874.077
4670,4747.7173
13500,12449.14
25490,22519.639
16500,17064.074
9171,8559.808
11000,11207.178
22511,18715.797
17190,15705.69
16490,15195.49
12995,10815.763
9643,8011.4824
10799,9507.946
21680,24507.832
19990,19438.873
26199,30756.35
18900,22674.492
15689,13637.046
