brand,engineSize,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,mileage,mpg,price,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,year
toyota,2.0,0,0,0,0,1,24089,36.2,16000,0,1,0,0,2016
toyota,2.0,0,0,0,0,1,18615,36.2,15995,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,27469,36.2,13998,0,1,0,0,2015
toyota,2.0,0,0,0,0,1,14736,36.2,18998,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,36284,36.2,17498,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,26919,36.2,15998,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,10456,36.2,18522,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,12340,36.2,18995,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,516,33.2,27998,0,1,0,0,2020
toyota,2.0,0,0,0,0,1,37999,36.2,13990,0,1,0,0,2016
toyota,2.0,0,0,0,0,1,72000,36.2,10495,0,1,0,0,2013
toyota,2.0,0,0,0,0,1,12597,36.2,17990,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,36100,36.2,16995,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,995,33.2,23995,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,35228,36.2,18498,0,1,0,0,2018
toyota,2.0,0,0,0,0,1,1751,33.2,23980,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,16444,36.2,17995,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,25499,36.2,12998,0,1,0,0,2014
toyota,2.0,0,0,0,0,1,3934,32.8,23495,1,0,0,0,2019
toyota,2.0,0,0,0,0,1,5123,33.2,25780,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,1500,32.8,26995,0,0,0,1,2020
toyota,2.0,0,0,0,0,1,913,32.8,23998,0,0,0,1,2019
toyota,2.0,0,0,0,0,1,2680,33.2,26995,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,14345,36.2,17000,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,15525,36.2,19995,0,1,0,0,2018
toyota,2.0,0,0,0,0,1,3000,33.2,31000,0,1,0,0,2020
toyota,2.0,0,0,0,0,1,19460,39.8,15995,0,0,0,1,2016
toyota,2.0,0,0,0,0,1,31231,36.2,18490,0,1,0,0,2018
toyota,2.0,0,0,0,0,1,339,33.2,24990,0,1,0,0,2020
toyota,2.0,0,0,0,0,1,30500,36.2,13981,0,1,0,0,2015
toyota,2.0,0,0,0,0,1,38126,36.2,13991,0,1,0,0,2015
toyota,2.0,0,0,0,0,1,3348,32.8,27060,1,0,0,0,2019
toyota,2.0,0,0,0,0,1,5260,36.2,20695,0,1,0,0,2018
toyota,2.0,0,0,0,0,1,100,33.2,25999,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,50584,36.2,11575,0,1,0,0,2013
toyota,2.0,0,0,0,0,1,6445,36.2,20995,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,18389,36.2,14999,0,1,0,0,2014
toyota,2.0,0,0,0,0,1,100,32.8,27000,0,0,0,1,2019
toyota,2.0,0,0,0,0,1,28321,36.2,15000,0,1,0,0,2016
toyota,2.0,0,0,0,0,1,16241,32.8,22200,0,0,0,1,2019
toyota,2.0,0,0,0,0,1,3150,33.2,24990,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,8912,33.2,25995,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,9639,36.2,19500,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,20219,36.2,18250,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,1557,33.2,23995,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,14000,36.2,17500,0,1,0,0,2016
toyota,2.0,0,0,0,0,1,4500,33.2,23997,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,21000,36.2,17102,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,2488,33.2,24995,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,26000,36.2,19995,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,999,33.2,29769,0,1,0,0,2020
toyota,2.0,0,0,0,0,1,4442,33.2,25850,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,24667,36.2,13495,0,1,0,0,2014
toyota,2.0,0,0,0,0,1,13930,39.8,18495,0,0,0,1,2017
toyota,2.0,0,0,0,0,1,614,33.2,25499,0,1,0,0,2020
toyota,2.0,0,0,0,0,1,18544,36.2,18621,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,7056,33.2,25121,0,1,0,0,2019
toyota,2.0,0,0,0,0,1,11898,36.2,17500,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,28335,39.8,11599,1,0,0,0,2013
toyota,2.0,0,0,0,0,1,10089,36.2,17249,0,1,0,0,2017
toyota,2.0,0,0,0,0,1,3250,33.2,25995,0,1,0,0,2020
toyota,2.0,0,0,0,0,1,39761,36.2,13000,0,1,0,0,2014
